vf_id,domain,domain_code,capability,origin,source_r2v_ids,source_capabilities,evidence_class,decision,priority,candidate_or_reference,authority_rule,verification_gate,status
VF-IAM-015,"04 Identity, organizations, tenancy and authorization",IAM,Org Role/Seat Policy,REPLIT-DERIVED-REQUIREMENT,R2V-078,Viewer-seat / restricted enterprise role,DOCUMENTED,DEFER,P1,Custom RBAC + OpenFGA,Not a greenfield core authority; no foundational dependency on this capability.,AuthN/AuthZ tenant-isolation tests + audit evidence,NOT_STARTED
VF-IAM-016,"04 Identity, organizations, tenancy and authorization",IAM,Organization + Membership,REPLIT-DERIVED-REQUIREMENT,R2V-079,Workspace/organization membership,DOCUMENTED,OWN,P0,PostgreSQL + OpenFGA,"VibeFlow is authoritative for Organization + Membership state/policy; external IDs are references, never the source of VibeFlow truth.",AuthN/AuthZ tenant-isolation tests + audit evidence,IN_PROGRESS
VF-PRJ-001,"05 Projects, artifacts, imports and lifecycle",PRJ,Artifact Registry,REPLIT-DERIVED-REQUIREMENT,R2V-080,Artifact Library/sidebar,DOCUMENTED,OWN,P1,Object metadata + blob adapter,"VibeFlow is authoritative for Artifact Registry state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-002,"05 Projects, artifacts, imports and lifecycle",PRJ,ArtifactVersion,REPLIT-DERIVED-REQUIREMENT,R2V-081,Artifact lifecycle,DOCUMENTED,OWN,P1,Content-addressed metadata,"VibeFlow is authoritative for ArtifactVersion state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-003,"05 Projects, artifacts, imports and lifecycle",PRJ,ArtifactGraph,REPLIT-DERIVED-REQUIREMENT,R2V-082,Artifact relationships,DOCUMENTED,DEFER,P1,Graph metadata,Not a greenfield core authority; no foundational dependency on this capability.,Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-004,"05 Projects, artifacts, imports and lifecycle",PRJ,Project Archive Import,REPLIT-DERIVED-REQUIREMENT,R2V-083,Direct file upload import,DOCUMENTED,OWN,P1,ZIP/tar upload + scanner,"VibeFlow is authoritative for Project Archive Import state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,IMPLEMENTED
VF-PRJ-005,"05 Projects, artifacts, imports and lifecycle",PRJ,Unbound/empty Project,REPLIT-DERIVED-REQUIREMENT,R2V-084,Empty project,DOCUMENTED,OWN,P0,Canonical resource,"VibeFlow is authoritative for Unbound/empty Project state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,IMPLEMENTED
VF-PRJ-006,"05 Projects, artifacts, imports and lifecycle",PRJ,Project Collection/Labels,REPLIT-DERIVED-REQUIREMENT,R2V-085,Folders/project organization,PACKAGE-PROVEN,OWN,P0,PostgreSQL,"VibeFlow is authoritative for Project Collection/Labels state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-007,"05 Projects, artifacts, imports and lifecycle",PRJ,Project Clone Plan,REPLIT-DERIVED-REQUIREMENT,R2V-086,Fork/remix/template,PACKAGE-PROVEN,OWN,P1,Provider snapshot + Git fork,"VibeFlow is authoritative for Project Clone Plan state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,IMPLEMENTED
VF-PRJ-008,"05 Projects, artifacts, imports and lifecycle",PRJ,Repository Import Adapter,REPLIT-DERIVED-REQUIREMENT,R2V-087,Import from Bitbucket,DOCUMENTED,BRIDGE,P1,Bitbucket API/Git,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Repository Import Adapter.",Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-009,"05 Projects, artifacts, imports and lifecycle",PRJ,Builder Migration Adapter,REPLIT-DERIVED-REQUIREMENT,R2V-088,Import from Bolt/Lovable/Base44,DOCUMENTED,DEFER,P1,Git import + source normalization,Not a greenfield core authority; no foundational dependency on this capability.,Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-010,"05 Projects, artifacts, imports and lifecycle",PRJ,Design Import Adapter,REPLIT-DERIVED-REQUIREMENT,R2V-089,Import from Figma,DOCUMENTED,DEFER,P1,Figma API/MCP + codegen agent,Not a greenfield core authority; no foundational dependency on this capability.,Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-011,"05 Projects, artifacts, imports and lifecycle",PRJ,Deployment-to-Repo Import Helper,REPLIT-DERIVED-REQUIREMENT,R2V-090,Import from Vercel project source,DOCUMENTED,BRIDGE,P0,Vercel/GitHub APIs,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Deployment-to-Repo Import Helper.",Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-012,"05 Projects, artifacts, imports and lifecycle",PRJ,RepositoryBinding import,REPLIT-DERIVED-REQUIREMENT,R2V-091,Import GitHub repository,CORROBORATED,BRIDGE,P1,GitHub API + Git,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for RepositoryBinding import.",Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-PRJ-013,"05 Projects, artifacts, imports and lifecycle",PRJ,Artifact,REPLIT-DERIVED-REQUIREMENT,R2V-092,Multiple artifact types,DOCUMENTED,OWN,P1,Typed artifact registry,"VibeFlow is authoritative for Artifact state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,IMPLEMENTED
VF-PRJ-014,"05 Projects, artifacts, imports and lifecycle",PRJ,ProjectCapabilityProfile,REPLIT-DERIVED-REQUIREMENT,R2V-093,Project capability manifest,INFERRED/ARCHITECTURAL,OWN,P0,Normalized capability registry,"VibeFlow is authoritative for ProjectCapabilityProfile state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,IMPLEMENTED
VF-PRJ-015,"05 Projects, artifacts, imports and lifecycle",PRJ,Project,REPLIT-DERIVED-REQUIREMENT,R2V-094,Project creation,CORROBORATED,OWN,P0,PostgreSQL,"VibeFlow is authoritative for Project state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,IMPLEMENTED
VF-PRJ-016,"05 Projects, artifacts, imports and lifecycle",PRJ,Project Profile,REPLIT-DERIVED-REQUIREMENT,R2V-095,Project metadata/cover,PACKAGE-PROVEN,OWN,P0,PostgreSQL + object storage,"VibeFlow is authoritative for Project Profile state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,IN_PROGRESS
VF-PRJ-017,"05 Projects, artifacts, imports and lifecycle",PRJ,Typed Artifact Graph,REPLIT-DERIVED-REQUIREMENT,R2V-096,Website/mobile/slides/animation/data artifact choice,DOCUMENTED,OWN,P1,Artifact type registry,"VibeFlow is authoritative for Typed Artifact Graph state/policy; external IDs are references, never the source of VibeFlow truth.",Resource ownership + import integrity + lifecycle tests,NOT_STARTED
VF-AGT-001,"06 Agent, task and AI execution",AGT,Agent delegation,REPLIT-DERIVED-REQUIREMENT,R2V-097,A2A delegation,UNKNOWN/PRIVATE,ADOPT,P1,A2A,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Agent delegation.,Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-002,"06 Agent, task and AI execution",AGT,Generic agent UI event adapter,REPLIT-DERIVED-REQUIREMENT,R2V-098,AG-UI compatibility,UNKNOWN/PRIVATE,OWN/DECIDE,P1,AG-UI,Authority assigned explicitly at implementation time; provider state is never silently promoted to VibeFlow truth.,Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-003,"06 Agent, task and AI execution",AGT,Agent Session,REPLIT-DERIVED-REQUIREMENT,R2V-099,Agent chat/intention input,DOCUMENTED,BRIDGE,P1,ACP-compatible client,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Agent Session.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-004,"06 Agent, task and AI execution",AGT,AgentContextRef,REPLIT-DERIVED-REQUIREMENT,R2V-100,Agent memory/context,DOCUMENTED,OWN,P1,Provider refs + VibeFlow metadata,"VibeFlow is authoritative for AgentContextRef state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-005,"06 Agent, task and AI execution",AGT,Durable Task Input Queue,REPLIT-DERIVED-REQUIREMENT,R2V-101,Agent message queue,DOCUMENTED,OWN,P1,PostgreSQL event/task queue,"VibeFlow is authoritative for Durable Task Input Queue state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-006,"06 Agent, task and AI execution",AGT,DiagnosticGrant,REPLIT-DERIVED-REQUIREMENT,R2V-102,Agent production diagnostics,DOCUMENTED,OWN,P1,Time-bound scoped grant,"VibeFlow is authoritative for DiagnosticGrant state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-007,"06 Agent, task and AI execution",AGT,AgentEvidence,REPLIT-DERIVED-REQUIREMENT,R2V-103,Agent self-testing,DOCUMENTED,OWN/DECIDE,P1,Test tool adapters,Authority assigned explicitly at implementation time; provider state is never silently promoted to VibeFlow truth.,Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-008,"06 Agent, task and AI execution",AGT,Project/Org Skills,REPLIT-DERIVED-REQUIREMENT,R2V-104,Agent skills/customization,DOCUMENTED,OWN,P1,AGENTS.md + skill manifests,"VibeFlow is authoritative for Project/Org Skills state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-009,"06 Agent, task and AI execution",AGT,Execution status event stream,REPLIT-DERIVED-REQUIREMENT,R2V-105,Agent status subscription,PACKAGE-PROVEN,OWN,P1,Remote gateway + durable event log,"VibeFlow is authoritative for Execution status event stream state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-010,"06 Agent, task and AI execution",AGT,Verification Policy Preferences,REPLIT-DERIVED-REQUIREMENT,R2V-106,Agent testing/code-review settings,DOCUMENTED,OWN,P1,Policy engine,"VibeFlow is authoritative for Verification Policy Preferences state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-011,"06 Agent, task and AI execution",AGT,Tool capability,REPLIT-DERIVED-REQUIREMENT,R2V-107,Agent tools,CORROBORATED,ADOPT,P1,MCP + native agent tools,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Tool capability.,Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-012,"06 Agent, task and AI execution",AGT,Agent Application Artifact,REPLIT-DERIVED-REQUIREMENT,R2V-108,Agent-created autonomous applications,DOCUMENTED,BRIDGE,P1,A2A/MCP/agent SDK adapters,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Agent Application Artifact.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-013,"06 Agent, task and AI execution",AGT,Audio Generation Provider Binding,REPLIT-DERIVED-REQUIREMENT,R2V-109,Audio generation tool,DOCUMENTED,DEFER,P3,Audio generation provider adapter,Not a greenfield core authority; no foundational dependency on this capability.,Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-014,"06 Agent, task and AI execution",AGT,Execution,REPLIT-DERIVED-REQUIREMENT,R2V-110,Background Agent execution,CORROBORATED,OWN,P0,Temporal,"VibeFlow is authoritative for Execution state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-015,"06 Agent, task and AI execution",AGT,EXECUTE mode,REPLIT-DERIVED-REQUIREMENT,R2V-111,Build Mode,DOCUMENTED,OWN,P1,ACP/provider adapter,"VibeFlow is authoritative for EXECUTE mode state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-016,"06 Agent, task and AI execution",AGT,Task Dependency Graph,REPLIT-DERIVED-REQUIREMENT,R2V-112,Follow-up tasks,DOCUMENTED,OWN,P0,Durable task graph,"VibeFlow is authoritative for Task Dependency Graph state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-017,"06 Agent, task and AI execution",AGT,General Coding Agent Binding,REPLIT-DERIVED-REQUIREMENT,R2V-113,General Agent across arbitrary supported codebases,DOCUMENTED,BRIDGE,P1,ACP-compatible coding agents,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for General Coding Agent Binding.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-018,"06 Agent, task and AI execution",AGT,Image Generation Provider Binding,REPLIT-DERIVED-REQUIREMENT,R2V-114,Image generation tool,DOCUMENTED,BRIDGE,P1,Image generation API adapter,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Image Generation Provider Binding.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-019,"06 Agent, task and AI execution",AGT,Execution Profile,REPLIT-DERIVED-REQUIREMENT,R2V-115,Lite/Economy/Power execution modes,DOCUMENTED,OWN,P0,Policy mapping onto agent/model capabilities,"VibeFlow is authoritative for Execution Profile state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-020,"06 Agent, task and AI execution",AGT,MCP Client,REPLIT-DERIVED-REQUIREMENT,R2V-116,MCP client,DOCUMENTED,ADOPT,P1,MCP,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for MCP Client.,Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-021,"06 Agent, task and AI execution",AGT,ModelBinding/AgentProfile,REPLIT-DERIVED-REQUIREMENT,R2V-117,Model/mode selection,CORROBORATED,BRIDGE,P1,Agent/provider discovery,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for ModelBinding/AgentProfile.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-022,"06 Agent, task and AI execution",AGT,Parallel Execution Set,REPLIT-DERIVED-REQUIREMENT,R2V-118,Parallel Agent tasks,DOCUMENTED,OWN,P0,Durable scheduler + execution leases,"VibeFlow is authoritative for Parallel Execution Set state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-023,"06 Agent, task and AI execution",AGT,Agent Preference Profile,REPLIT-DERIVED-REQUIREMENT,R2V-119,Per-user Agent preferences,DOCUMENTED,OWN,P1,Account preference store,"VibeFlow is authoritative for Agent Preference Profile state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-024,"06 Agent, task and AI execution",AGT,PLAN execution mode,REPLIT-DERIVED-REQUIREMENT,R2V-120,Plan Mode,DOCUMENTED,OWN,P1,ACP config + policy,"VibeFlow is authoritative for PLAN execution mode state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-025,"06 Agent, task and AI execution",AGT,VibeFlow MCP server — agent/tool exposure,REPLIT-DERIVED-REQUIREMENT,R2V-121,Replit MCP server,DOCUMENTED,OWN,P1,MCP Streamable HTTP + OAuth,"VibeFlow is authoritative for VibeFlow MCP Server state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-026,"06 Agent, task and AI execution",AGT,A2A Agent Delegation,REPLIT-DERIVED-REQUIREMENT,R2V-122,Sub-agent delegation in user-built agents,DOCUMENTED,BRIDGE,P1,A2A 1.0 + provider SDKs,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for A2A Agent Delegation.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-027,"06 Agent, task and AI execution",AGT,Task,REPLIT-DERIVED-REQUIREMENT,R2V-123,Task board,DOCUMENTED,OWN,P0,Temporal + PostgreSQL,"VibeFlow is authoritative for Task state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-028,"06 Agent, task and AI execution",AGT,Normalized Task State Machine,REPLIT-DERIVED-REQUIREMENT,R2V-124,Task lifecycle columns/statuses,DOCUMENTED,OWN,P0,PostgreSQL + event-sourced transitions,"VibeFlow is authoritative for Normalized Task State Machine state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-029,"06 Agent, task and AI execution",AGT,PlanArtifact,REPLIT-DERIVED-REQUIREMENT,R2V-125,Task plan/success criteria,DOCUMENTED,OWN,P0,Structured task schema,"VibeFlow is authoritative for PlanArtifact state/policy; external IDs are references, never the source of VibeFlow truth.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-030,"06 Agent, task and AI execution",AGT,Latency Priority Hint,REPLIT-DERIVED-REQUIREMENT,R2V-126,Turbo advanced setting,DOCUMENTED,BRIDGE,P1,Agent capability hint,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Latency Priority Hint.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-031,"06 Agent, task and AI execution",AGT,Voice Input/Conversation Adapter,REPLIT-DERIVED-REQUIREMENT,R2V-127,Voice mode,DOCUMENTED,DEFER,P3,Speech-to-text/text-to-speech providers,Not a greenfield core authority; no foundational dependency on this capability.,Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-AGT-032,"06 Agent, task and AI execution",AGT,Web Research Tool Capability,REPLIT-DERIVED-REQUIREMENT,R2V-128,Web search tool,DOCUMENTED,BRIDGE,P1,Search provider/MCP,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Web Research Tool Capability.",Task/execution durability + agent capability + independent completion verification,NOT_STARTED
VF-WKS-001,"07 Development workspace, IDE and runtime authority",WKS,Command Execution UI,REPLIT-DERIVED-REQUIREMENT,R2V-129,CLUI / command-line UI helpers,DOCUMENTED,DEFER,P1,xterm.js + command metadata,Not a greenfield core authority; no foundational dependency on this capability.,Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-002,"07 Development workspace, IDE and runtime authority",WKS,Editor Surface,REPLIT-DERIVED-REQUIREMENT,R2V-130,Code editor,DOCUMENTED,ADOPT,P1,Monaco / Code-OSS,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Editor Surface.,Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-003,"07 Development workspace, IDE and runtime authority",WKS,ExecutionLog stream,REPLIT-DERIVED-REQUIREMENT,R2V-131,Console/run logs,DOCUMENTED,OWN,P1,OTel/log adapter,"VibeFlow is authoritative for ExecutionLog stream state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-004,"07 Development workspace, IDE and runtime authority",WKS,PreviewEndpoint,REPLIT-DERIVED-REQUIREMENT,R2V-132;R2V-143,Development URL lifecycle; Preview URL,DOCUMENTED,BRIDGE,P1,Provider reverse proxy; Workspace provider adapter,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for PreviewEndpoint.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-005,"07 Development workspace, IDE and runtime authority",WKS,Preview Access Policy,REPLIT-DERIVED-REQUIREMENT,R2V-133,Development URL public-by-default risk,DOCUMENTED,OWN,P1,Gateway/reverse proxy policy,"VibeFlow is authoritative for Preview Access Policy state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-006,"07 Development workspace, IDE and runtime authority",WKS,ChangeSet view,REPLIT-DERIVED-REQUIREMENT,R2V-134,Diff view,DOCUMENTED,OWN,P1,Monaco Diff + Git,"VibeFlow is authoritative for ChangeSet view state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-007,"07 Development workspace, IDE and runtime authority",WKS,Workspace Layout State,REPLIT-DERIVED-REQUIREMENT,R2V-135,Editor tabs / pane layout,DOCUMENTED,OWN,P1,Custom web shell,"VibeFlow is authoritative for Workspace Layout State state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-008,"07 Development workspace, IDE and runtime authority",WKS,EnvironmentSpec,REPLIT-DERIVED-REQUIREMENT,R2V-136,Environment definition,INFERRED/ARCHITECTURAL,ADOPT,P1,Dev Containers,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for EnvironmentSpec.,Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-009,"07 Development workspace, IDE and runtime authority",WKS,Shortcut Registry,REPLIT-DERIVED-REQUIREMENT,R2V-137,Keyboard shortcuts,DOCUMENTED,OWN,P1,Web/native command registry,"VibeFlow is authoritative for Shortcut Registry state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-010,"07 Development workspace, IDE and runtime authority",WKS,LanguageService capability,REPLIT-DERIVED-REQUIREMENT,R2V-138,Language intelligence/LSP,INFERRED/ARCHITECTURAL,ADOPT,P1,LSP,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for LanguageService capability.,Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-011,"07 Development workspace, IDE and runtime authority",WKS,Lightweight mobile syntax/action layer,REPLIT-DERIVED-REQUIREMENT,R2V-139,Local parsing on mobile,PACKAGE-PROVEN,OWN,P1,Lezer/Tree-sitter style parsers,"VibeFlow is authoritative for Lightweight mobile syntax/action layer state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-012,"07 Development workspace, IDE and runtime authority",WKS,Environment Capability Descriptor,REPLIT-DERIVED-REQUIREMENT,R2V-140,NixOS/runtime environment compatibility,DOCUMENTED,BRIDGE,P1,Dev Containers/Nix/provider descriptors,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Environment Capability Descriptor.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-013,"07 Development workspace, IDE and runtime authority",WKS,PackageOperation,REPLIT-DERIVED-REQUIREMENT,R2V-141,Package management,DOCUMENTED,BRIDGE,P1,Native package managers,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for PackageOperation.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-014,"07 Development workspace, IDE and runtime authority",WKS,NetworkCapability,REPLIT-DERIVED-REQUIREMENT,R2V-142,Ports/network exposure,INFERRED/ARCHITECTURAL,BRIDGE,P1,Provider adapter + egress policy,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for NetworkCapability.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-015,"07 Development workspace, IDE and runtime authority",WKS,Presence/CollaborativeDocument,REPLIT-DERIVED-REQUIREMENT,R2V-144,Real-time collaboration,DOCUMENTED,DEFER,P1,Yjs,Not a greenfield core authority; no foundational dependency on this capability.,Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-016,"07 Development workspace, IDE and runtime authority",WKS,WorkspaceBinding.filesystem,REPLIT-DERIVED-REQUIREMENT,R2V-145,Remote development filesystem,DOCUMENTED,BRIDGE,P1,Provider adapter,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for WorkspaceBinding.filesystem.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-017,"07 Development workspace, IDE and runtime authority",WKS,WorkspaceResourceMetrics,REPLIT-DERIVED-REQUIREMENT,R2V-146,Resource metrics,DOCUMENTED,BRIDGE,P1,Provider metrics + OTel,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for WorkspaceResourceMetrics.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-018,"07 Development workspace, IDE and runtime authority",WKS,Execution command,REPLIT-DERIVED-REQUIREMENT,R2V-147,Run/Stop workflow,DOCUMENTED,OWN,P1,Provider API,"VibeFlow is authoritative for Execution command state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-019,"07 Development workspace, IDE and runtime authority",WKS,WorkspaceExecution capability,REPLIT-DERIVED-REQUIREMENT,R2V-148,Runtime/process execution,DOCUMENTED,BRIDGE,P0,Daytona/E2B/Docker/containerd,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for WorkspaceExecution capability.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-020,"07 Development workspace, IDE and runtime authority",WKS,Search capability,REPLIT-DERIVED-REQUIREMENT,R2V-149,Search/ripgrep,DOCUMENTED,ADOPT,P1,ripgrep,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Search capability.,Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-021,"07 Development workspace, IDE and runtime authority",WKS,TerminalSession,REPLIT-DERIVED-REQUIREMENT,R2V-150,Shell/PTY,DOCUMENTED,BRIDGE,P1,xterm.js + PTY provider,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for TerminalSession.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-022,"07 Development workspace, IDE and runtime authority",WKS,External Workspace Access Capability,REPLIT-DERIVED-REQUIREMENT,R2V-151,SSH access,DOCUMENTED,BRIDGE,P1,SSH provider capability,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for External Workspace Access Capability.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-023,"07 Development workspace, IDE and runtime authority",WKS,Workspace Preference Profile,REPLIT-DERIVED-REQUIREMENT,R2V-152,Themes/editor settings,DOCUMENTED,OWN,P1,Theme tokens + editor settings,"VibeFlow is authoritative for Workspace Preference Profile state/policy; external IDs are references, never the source of VibeFlow truth.",Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-WKS-024,"07 Development workspace, IDE and runtime authority",WKS,WorkspaceIsolation capability,REPLIT-DERIVED-REQUIREMENT,R2V-153,Workspace isolation mechanism,UNKNOWN/PRIVATE,BRIDGE,P0,Daytona/E2B; later gVisor/Firecracker,Authority assigned explicitly at implementation time; provider state is never silently promoted to VibeFlow truth.,Workspace grant/isolation + filesystem/process/preview reconciliation,NOT_STARTED
VF-GIT-001,"08 Repository, checkpoints, history and recovery",GIT,CheckpointManifest,REPLIT-DERIVED-REQUIREMENT,R2V-154,Agent checkpoints,DOCUMENTED,OWN,P0,Manifest + provider snapshots,"VibeFlow is authoritative for CheckpointManifest state/policy; external IDs are references, never the source of VibeFlow truth.",Immutable recovery evidence + rollback/forward/revision consistency tests,NOT_STARTED
