id,domain,capability,replit_role,evidence_class,evidence,evidence_refs,replit_authority,vibeflow_equivalent,vibeflow_authority_rule,canonical_decision,decision,candidate,license_commercial_posture,priority,verification_gate,rationale
R2V-095,"05 Projects, artifacts, imports and lifecycle",Project metadata/cover,"Title, description, cover, sharing settings.",PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Project metadata,Project Profile,"VibeFlow is authoritative for Project Profile state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,PostgreSQL + object storage,PostgreSQL License,P0,Resource ownership + import integrity + lifecycle tests,Stable product identity independent of workspace provider.
R2V-096,"05 Projects, artifacts, imports and lifecycle",Website/mobile/slides/animation/data artifact choice,Create surface supports several artifact types rather than only code projects.,DOCUMENTED,D,Replit Docs: Build Welcome,Project/artifact system,Typed Artifact Graph,"VibeFlow is authoritative for Typed Artifact Graph state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Artifact type registry,CUSTOM/OWNED,P1,Resource ownership + import integrity + lifecycle tests,Project is container; artifacts are typed outputs.
R2V-097,"06 Agent, task and AI execution",A2A delegation,No direct Replit-internal A2A evidence.,UNKNOWN/PRIVATE,U,Prior XAPK/docs evidence register; see Final Source Register,Unknown/private,Agent delegation,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Agent delegation.,ADOPT,ADOPT IF NEEDED,A2A,Apache-2.0,P1,Task/execution durability + agent capability + independent completion verification,Use open standard rather than inventing generic delegation protocol.
R2V-098,"06 Agent, task and AI execution",AG-UI compatibility,No direct Replit AG-UI evidence.,UNKNOWN/PRIVATE,U,Prior XAPK/docs evidence register; see Final Source Register,Unknown/private,Generic agent UI event adapter,Authority assigned explicitly at implementation time; provider state is never silently promoted to VibeFlow truth.,OWN/DECIDE,OPTIONAL,AG-UI,MIT,P1,Task/execution durability + agent capability + independent completion verification,Compatibility layer only; not core state/recovery protocol.
R2V-099,"06 Agent, task and AI execution",Agent chat/intention input,Natural-language control surface.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent service,Agent Session,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Agent Session.",BRIDGE,BRIDGE,ACP-compatible client,Apache-2.0,P1,Task/execution durability + agent capability + independent completion verification,"VibeFlow is client/control plane, not necessarily model host."
R2V-100,"06 Agent, task and AI execution",Agent memory/context,Checkpointed Agent memory/conversation context.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent state,AgentContextRef,"VibeFlow is authoritative for AgentContextRef state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN GOVERNANCE,Provider refs + VibeFlow metadata,CUSTOM/OWNED,P1,Task/execution durability + agent capability + independent completion verification,Do not assume provider memory is portable; define retention/authority.
R2V-101,"06 Agent, task and AI execution",Agent message queue,Queues follow-up instructions while work is in progress.,DOCUMENTED,D,Replit Docs index: message queue,Agent/task service,Durable Task Input Queue,"VibeFlow is authoritative for Durable Task Input Queue state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,PostgreSQL event/task queue,PostgreSQL License,P1,Task/execution durability + agent capability + independent completion verification,Mobile disconnect must not drop queued intent.
R2V-102,"06 Agent, task and AI execution",Agent production diagnostics,Current Replit gives read-only production SQL/log access in constrained forms.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent + production data,DiagnosticGrant,"VibeFlow is authoritative for DiagnosticGrant state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN STRONGER,Time-bound scoped grant,CUSTOM/OWNED,P1,Task/execution durability + agent capability + independent completion verification,Read-only production observation can be approved without mutation rights.
R2V-103,"06 Agent, task and AI execution",Agent self-testing,Agent reviews/tests work.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent,AgentEvidence,Authority assigned explicitly at implementation time; provider state is never silently promoted to VibeFlow truth.,OWN/DECIDE,ACCEPT AS EVIDENCE,Test tool adapters,VERIFY PER DEPENDENCY,P1,Task/execution durability + agent capability + independent completion verification,"Agent test claims are inputs, not authoritative completion."
R2V-104,"06 Agent, task and AI execution",Agent skills/customization,Current Replit supports skills/search/customization.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent configuration,Project/Org Skills,"VibeFlow is authoritative for Project/Org Skills state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,ADOPT+OWN REGISTRY,AGENTS.md + skill manifests,CUSTOM/OWNED,P1,Task/execution durability + agent capability + independent completion verification,"Repository-governed, deterministic agent context."
R2V-105,"06 Agent, task and AI execution",Agent status subscription,Mobile client directly subscribes to current-user Agent statuses.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Control plane,Execution status event stream,"VibeFlow is authoritative for Execution status event stream state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Remote gateway + durable event log,CUSTOM/OWNED,P1,Task/execution durability + agent capability + independent completion verification,Mobile reconnects to authoritative server state.
R2V-106,"06 Agent, task and AI execution",Agent testing/code-review settings,Advanced Agent controls include testing/review behavior.,DOCUMENTED,D,Replit Docs: Agent Modes,Agent execution policy,Verification Policy Preferences,"VibeFlow is authoritative for Verification Policy Preferences state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Policy engine,CUSTOM/OWNED,P1,Task/execution durability + agent capability + independent completion verification,Verification must remain independently authoritative even if Agent self-tests.
R2V-107,"06 Agent, task and AI execution",Agent tools,Agent invokes tools/services.,CORROBORATED,P+D,Prior XAPK/docs evidence register; see Final Source Register,Agent/tool plane,Tool capability,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Tool capability.,ADOPT,ADOPT+POLICY,MCP + native agent tools,MIT,P1,Task/execution durability + agent capability + independent completion verification,Tool use is subject to VibeFlow grants/approvals.
R2V-108,"06 Agent, task and AI execution",Agent-created autonomous applications,"Platform documents building agents with tools, skills, permissions and sub-agents.",DOCUMENTED,D,Replit Docs: Build an agent,Application runtime/agent SDK,Agent Application Artifact,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Agent Application Artifact.",BRIDGE,BRIDGE,A2A/MCP/agent SDK adapters,Apache-2.0; MIT,P1,Task/execution durability + agent capability + independent completion verification,Distinguish the coding agent operating VibeFlow from agents built as user artifacts.
R2V-109,"06 Agent, task and AI execution",Audio generation tool,Agent can generate audio as an artifact.,DOCUMENTED,D,Replit Docs index: audio generation,Agent tool/provider,Audio Generation Provider Binding,Not a greenfield core authority; no foundational dependency on this capability.,DEFER,DEFER,Audio generation provider adapter,CUSTOM/OWNED,P3,Task/execution durability + agent capability + independent completion verification,Same typed artifact pattern as images.
R2V-110,"06 Agent, task and AI execution",Background Agent execution,Work continues remotely.,CORROBORATED,P+D,Prior XAPK/docs evidence register; see Final Source Register,Agent/workspace,Execution,"VibeFlow is authoritative for Execution state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN ORCHESTRATION,Temporal,MIT,P0,Task/execution durability + agent capability + independent completion verification,Core mobile-first requirement.
R2V-111,"06 Agent, task and AI execution",Build Mode,"Agent writes files, installs deps, configures resources and fixes issues.",DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent + workspace,EXECUTE mode,"VibeFlow is authoritative for EXECUTE mode state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN SEMANTICS,ACP/provider adapter,Apache-2.0,P1,Task/execution durability + agent capability + independent completion verification,Requires explicit write/tool capabilities.
R2V-112,"06 Agent, task and AI execution",Follow-up tasks,User can convert discovered/remaining work into subsequent tasks.,DOCUMENTED,D,Replit Docs index: follow-up tasks,Task service,Task Dependency Graph,"VibeFlow is authoritative for Task Dependency Graph state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Durable task graph,CUSTOM/OWNED,P0,Task/execution durability + agent capability + independent completion verification,Preserve provenance from finding to follow-up execution.
R2V-113,"06 Agent, task and AI execution",General Agent across arbitrary supported codebases,Agent is not limited to narrow templates and can operate across custom projects.,DOCUMENTED,D,Replit Docs: Sep 5 2025 changelog,Agent platform,General Coding Agent Binding,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for General Coding Agent Binding.",BRIDGE,BRIDGE,ACP-compatible coding agents,Apache-2.0,P1,Task/execution durability + agent capability + independent completion verification,BYOA must support capability discovery instead of template lock-in.
R2V-114,"06 Agent, task and AI execution",Image generation tool,Agent can generate visual assets as project artifacts.,DOCUMENTED,D,Replit Docs index: image generation,Agent tool/provider,Image Generation Provider Binding,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Image Generation Provider Binding.",BRIDGE,BRIDGE,Image generation API adapter,VERIFY PER DEPENDENCY,P1,Task/execution durability + agent capability + independent completion verification,Generated asset is an Artifact with provider/evidence metadata.
R2V-115,"06 Agent, task and AI execution",Lite/Economy/Power execution modes,Agent exposes user-facing quality/cost/capability presets.,DOCUMENTED,D,Replit Docs: Agent Modes,Agent/model orchestration,Execution Profile,"VibeFlow is authoritative for Execution Profile state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN POLICY,Policy mapping onto agent/model capabilities,CUSTOM/OWNED,P0,Task/execution durability + agent capability + independent completion verification,Do not hard-code one vendor model; express goals and budget.
R2V-116,"06 Agent, task and AI execution",MCP client,Replit Agent connects to curated/custom MCP servers.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent integrations,MCP Client,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for MCP Client.,ADOPT,ADOPT,MCP,MIT,P1,Task/execution durability + agent capability + independent completion verification,First-class open integration path.
R2V-117,"06 Agent, task and AI execution",Model/mode selection,Replit exposes Agent modes/models/cost tradeoffs.,CORROBORATED,P+D,Prior XAPK/docs evidence register; see Final Source Register,AI routing,ModelBinding/AgentProfile,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for ModelBinding/AgentProfile.",BRIDGE,BRIDGE,Agent/provider discovery,VERIFY PER DEPENDENCY,P1,Task/execution durability + agent capability + independent completion verification,Do not hard-code Replit-style modes across incompatible agents.
R2V-118,"06 Agent, task and AI execution",Parallel Agent tasks,Agent 4 can execute multiple tasks at once.,DOCUMENTED,D,Replit Docs: Agent 4,Task scheduler,Parallel Execution Set,"VibeFlow is authoritative for Parallel Execution Set state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Durable scheduler + execution leases,CUSTOM/OWNED,P0,Task/execution durability + agent capability + independent completion verification,Need isolation/revision reconciliation before merging concurrent work.
R2V-119,"06 Agent, task and AI execution",Per-user Agent preferences,Agent behavior/settings can vary by user inside collaborative environments.,DOCUMENTED,D,Replit updates: per-user Agent settings,User preference authority,Agent Preference Profile,"VibeFlow is authoritative for Agent Preference Profile state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Account preference store,CUSTOM/OWNED,P1,Task/execution durability + agent capability + independent completion verification,Preferences are not task truth; apply as policy inputs.
R2V-120,"06 Agent, task and AI execution",Plan Mode,Read-only exploration/planning without file mutation.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent policy,PLAN execution mode,"VibeFlow is authoritative for PLAN execution mode state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN SEMANTICS,ACP config + policy,Apache-2.0,P1,Task/execution durability + agent capability + independent completion verification,Separate read authority from mutation authority.
R2V-121,"06 Agent, task and AI execution",Replit MCP server,Replit exposes platform operations to external MCP clients.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,External platform API,VibeFlow MCP Server,"VibeFlow is authoritative for VibeFlow MCP Server state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,ADOPT+OWN TOOLS,MCP Streamable HTTP + OAuth,MIT,P1,Task/execution durability + agent capability + independent completion verification,Expose safe project/task/deploy operations to external agents.
R2V-122,"06 Agent, task and AI execution",Sub-agent delegation in user-built agents,Agent SDK guidance supports orchestrator + specialized sub-agents.,DOCUMENTED,D,Replit Docs: Build an agent,User application agent runtime,A2A Agent Delegation,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for A2A Agent Delegation.",BRIDGE,ADOPT/BRIDGE,A2A 1.0 + provider SDKs,Apache-2.0,P1,Task/execution durability + agent capability + independent completion verification,Use standard inter-agent boundary where independent agents collaborate.
R2V-123,"06 Agent, task and AI execution",Task board,Draft/active/ready/done work stages and background tasks.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent task service,Task,"VibeFlow is authoritative for Task state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Temporal + PostgreSQL,MIT; PostgreSQL License,P0,Task/execution durability + agent capability + independent completion verification,Task must outlive phone connection and agent process.
R2V-124,"06 Agent, task and AI execution",Task lifecycle columns/statuses,Task board distinguishes draft/active/ready/done-style states.,DOCUMENTED,D,Replit Docs: Project Editor,Task authority,Normalized Task State Machine,"VibeFlow is authoritative for Normalized Task State Machine state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,PostgreSQL + event-sourced transitions,PostgreSQL License,P0,Task/execution durability + agent capability + independent completion verification,Do not map UI labels directly to provider execution states.
R2V-125,"06 Agent, task and AI execution",Task plan/success criteria,"Agent plans steps, done criteria and out-of-scope.",DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent,PlanArtifact,"VibeFlow is authoritative for PlanArtifact state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN NORMALIZATION,Structured task schema,CUSTOM/OWNED,P0,Task/execution durability + agent capability + independent completion verification,Make plan reviewable and provider-neutral.
R2V-126,"06 Agent, task and AI execution",Turbo advanced setting,Optional speed-oriented execution setting under advanced Agent controls.,DOCUMENTED,D,Replit Docs: Agent Modes,Agent/model orchestration,Latency Priority Hint,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Latency Priority Hint.",BRIDGE,BRIDGE,Agent capability hint,VERIFY PER DEPENDENCY,P1,Task/execution durability + agent capability + independent completion verification,Provider may support or ignore; should not become core semantics.
R2V-127,"06 Agent, task and AI execution",Voice mode,User can interact with Agent using voice.,DOCUMENTED,D,Replit Docs index: voice mode,Agent UX,Voice Input/Conversation Adapter,Not a greenfield core authority; no foundational dependency on this capability.,DEFER,DEFER,Speech-to-text/text-to-speech providers,CUSTOM/OWNED,P3,Task/execution durability + agent capability + independent completion verification,"UX layer, not execution authority."
R2V-128,"06 Agent, task and AI execution",Web search tool,Agent can retrieve web context during tasks.,DOCUMENTED,D,Replit Docs index: Agent web search,Agent tool plane,Web Research Tool Capability,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Web Research Tool Capability.",BRIDGE,BRIDGE,Search provider/MCP,MIT,P1,Task/execution durability + agent capability + independent completion verification,Treat as scoped external tool with provenance.
R2V-129,"07 Development workspace, IDE and runtime authority",CLUI / command-line UI helpers,Project editor includes CLI-oriented interaction helpers beyond raw shell.,DOCUMENTED,D,Replit Docs index: CLUI,Workspace UI,Command Execution UI,Not a greenfield core authority; no foundational dependency on this capability.,DEFER,DEFER,xterm.js + command metadata,MIT,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Nice-to-have after terminal basics.
R2V-130,"07 Development workspace, IDE and runtime authority",Code editor,Web IDE editing surface.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace web UI,Editor Surface,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Editor Surface.,ADOPT,ADOPT,Monaco / Code-OSS,MIT,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Avoid native recreation of dense editor.
R2V-131,"07 Development workspace, IDE and runtime authority",Console/run logs,Shows process output/status.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace execution,ExecutionLog stream,"VibeFlow is authoritative for ExecutionLog stream state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN NORMALIZATION,OTel/log adapter,Apache-2.0,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Separate durable execution events from ephemeral terminal text.
R2V-132,"07 Development workspace, IDE and runtime authority",Development URL lifecycle,Ephemeral development URLs expose currently running workspace services.,DOCUMENTED,D,Replit Docs: Development URLs,Workspace runtime/network plane,PreviewEndpoint,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for PreviewEndpoint.",BRIDGE,BRIDGE,Workspace provider adapter,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Endpoint is provider-owned; VibeFlow records scope/TTL/access policy.
R2V-133,"07 Development workspace, IDE and runtime authority",Development URL public-by-default risk,Replit docs note dev URLs may be public unless restricted.,DOCUMENTED,D,Replit Docs: Development URLs,Workspace network plane,Preview Access Policy,"VibeFlow is authoritative for Preview Access Policy state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN POLICY,Gateway/reverse proxy policy,CUSTOM/OWNED,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,VibeFlow should default to authenticated preview when possible.
R2V-134,"07 Development workspace, IDE and runtime authority",Diff view,Agent/Git changes visible for review.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Repo/workspace UI,ChangeSet view,"VibeFlow is authoritative for ChangeSet view state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN NORMALIZATION,Monaco Diff + Git,MIT,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Tie changes to execution/evidence IDs.
R2V-135,"07 Development workspace, IDE and runtime authority",Editor tabs / pane layout,Project Editor composes multiple workspace tools/panes around files and Agent.,DOCUMENTED,D,Replit Docs: Project Editor,Web workspace UI,Workspace Layout State,"VibeFlow is authoritative for Workspace Layout State state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN UI,Custom web shell,CUSTOM/OWNED,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,UI layout may be VibeFlow-owned even when execution provider is external.
R2V-136,"07 Development workspace, IDE and runtime authority",Environment definition,Runtime/config/packages/workflows define dev environment.,INFERRED/ARCHITECTURAL,D+I,Prior XAPK/docs evidence register; see Final Source Register,Workspace,EnvironmentSpec,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for EnvironmentSpec.,ADOPT,ADOPT,Dev Containers,spec/code mixed; file-level review,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Portable environment standard where feasible.
R2V-137,"07 Development workspace, IDE and runtime authority",Keyboard shortcuts,Project Editor exposes shortcuts for dense development workflows.,DOCUMENTED,D,Replit Docs index: shortcuts,Workspace UI,Shortcut Registry,"VibeFlow is authoritative for Shortcut Registry state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Web/native command registry,CUSTOM/OWNED,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Cross-device command IDs should be stable and capability-aware.
R2V-138,"07 Development workspace, IDE and runtime authority",Language intelligence/LSP,Expected Project Editor functionality; private implementation details not proven.,INFERRED/ARCHITECTURAL,I,Prior XAPK/docs evidence register; see Final Source Register,Workspace,LanguageService capability,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for LanguageService capability.,ADOPT,ADOPT,LSP,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Standard interface; per-language servers provider/runtime dependent.
R2V-139,"07 Development workspace, IDE and runtime authority",Local parsing on mobile,Compiled mobile client contains parsers/actions for JS/Python/Java/HTML/CSS/Markdown.,PACKAGE-PROVEN,P,Prior XAPK/docs evidence register; see Final Source Register,Mobile editor support,Lightweight mobile syntax/action layer,"VibeFlow is authoritative for Lightweight mobile syntax/action layer state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,ADOPT/OWN THIN,Lezer/Tree-sitter style parsers,CUSTOM/OWNED,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Useful for quick edits/actions even with web workspace.
R2V-140,"07 Development workspace, IDE and runtime authority",NixOS/runtime environment compatibility,General Agent supports arbitrary codebases runnable in Replit’s NixOS environment.,DOCUMENTED,D,Replit Docs: Sep 5 2025 changelog,Workspace environment,Environment Capability Descriptor,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for Environment Capability Descriptor.",BRIDGE,BRIDGE,Dev Containers/Nix/provider descriptors,spec/code mixed; file-level review,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Do not mandate Nix; normalize environment capabilities.
R2V-141,"07 Development workspace, IDE and runtime authority",Package management,Agent/Shell install project dependencies.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace,PackageOperation,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for PackageOperation.",BRIDGE,BRIDGE+APPROVAL,Native package managers,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Policy around arbitrary install scripts.
R2V-142,"07 Development workspace, IDE and runtime authority",Ports/network exposure,Workspace exposes/controls network services.,INFERRED/ARCHITECTURAL,D+I,Prior XAPK/docs evidence register; see Final Source Register,Workspace networking,NetworkCapability,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for NetworkCapability.",BRIDGE,BRIDGE+POLICY,Provider adapter + egress policy,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Capability discovery rather than assuming uniform ports.
R2V-143,"07 Development workspace, IDE and runtime authority",Preview URL,Live app preview from development workspace.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace networking,PreviewEndpoint,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for PreviewEndpoint.",BRIDGE,BRIDGE,Provider reverse proxy,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,"Short-lived, origin-bound access token."
R2V-144,"07 Development workspace, IDE and runtime authority",Real-time collaboration,Multi-user project editing is a Replit product capability.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Collaboration/workspace,Presence/CollaborativeDocument,Not a greenfield core authority; no foundational dependency on this capability.,DEFER,DEFER,Yjs,MIT,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Core after single-user authority/recovery is correct.
R2V-145,"07 Development workspace, IDE and runtime authority",Remote development filesystem,"Project Editor, Shell and Agent operate on remote files.",DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Development workspace,WorkspaceBinding.filesystem,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for WorkspaceBinding.filesystem.",BRIDGE,BRIDGE,Provider adapter,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,BYOW: provider remains filesystem authority.
R2V-146,"07 Development workspace, IDE and runtime authority",Resource metrics,Project Editor resource panel shows CPU/RAM/storage.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace,WorkspaceResourceMetrics,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for WorkspaceResourceMetrics.",BRIDGE,BRIDGE,Provider metrics + OTel,Apache-2.0,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Normalize units/limits.
R2V-147,"07 Development workspace, IDE and runtime authority",Run/Stop workflow,Process lifecycle controls.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace execution,Execution command,"VibeFlow is authoritative for Execution command state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN NORMALIZATION,Provider API,CUSTOM/OWNED,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Idempotent start/stop/cancel semantics.
R2V-148,"07 Development workspace, IDE and runtime authority",Runtime/process execution,Run/build/test/package operations execute remotely.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace compute,WorkspaceExecution capability,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for WorkspaceExecution capability.",BRIDGE,BRIDGE,Daytona/E2B/Docker/containerd,VERIFY PER DEPENDENCY,P0,Workspace grant/isolation + filesystem/process/preview reconciliation,Normalize lifecycle and process semantics.
R2V-149,"07 Development workspace, IDE and runtime authority",Search/ripgrep,Search files/text/tools.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace,Search capability,Adopt commodity/open mechanism; VibeFlow stores only product-level metadata/policy for Search capability.,ADOPT,ADOPT,ripgrep,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Commodity.
R2V-150,"07 Development workspace, IDE and runtime authority",Shell/PTY,Interactive terminal tool.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Workspace,TerminalSession,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for TerminalSession.",BRIDGE,BRIDGE,xterm.js + PTY provider,MIT,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,High-risk capability with scoped authorization.
R2V-151,"07 Development workspace, IDE and runtime authority",SSH access,Workspace can be reached through SSH for external terminal/editor workflows.,DOCUMENTED,D,Replit Docs index: SSH,Workspace runtime,External Workspace Access Capability,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for External Workspace Access Capability.",BRIDGE,BRIDGE,SSH provider capability,VERIFY PER DEPENDENCY,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Never assume every BYOW supports SSH.
R2V-152,"07 Development workspace, IDE and runtime authority",Themes/editor settings,Builder can customize workspace/editor visual preferences.,DOCUMENTED,D,Replit Docs index: settings/themes,User/workspace preferences,Workspace Preference Profile,"VibeFlow is authoritative for Workspace Preference Profile state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Theme tokens + editor settings,CUSTOM/OWNED,P1,Workspace grant/isolation + filesystem/process/preview reconciliation,Separate preferences from workspace authoritative state.
R2V-153,"07 Development workspace, IDE and runtime authority",Workspace isolation mechanism,Exact server sandbox mechanism is private.,UNKNOWN/PRIVATE,U,Prior XAPK/docs evidence register; see Final Source Register,Private Replit infra,WorkspaceIsolation capability,Authority assigned explicitly at implementation time; provider state is never silently promoted to VibeFlow truth.,BRIDGE,OUTSOURCE EARLY,Daytona/E2B; later gVisor/Firecracker,Apache-2.0,P0,Workspace grant/isolation + filesystem/process/preview reconciliation,Do not self-host hostile code until needed.
R2V-154,"08 Repository, checkpoints, history and recovery",Agent checkpoints,"Snapshot project files, context, environment and optional DB.",DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Cross-resource recovery,CheckpointManifest,"VibeFlow is authoritative for CheckpointManifest state/policy; external IDs are references, never the source of VibeFlow truth.",OWN,OWN,Manifest + provider snapshots,CUSTOM/OWNED,P0,Immutable recovery evidence + rollback/forward/revision consistency tests,No single provider owns all recoverable state in VibeFlow.
R2V-155,"08 Repository, checkpoints, history and recovery",Agent context restore,Conversation/Agent memory follows checkpoint.,DOCUMENTED,D,Prior XAPK/docs evidence register; see Final Source Register,Agent state,AgentContextSnapshotRef,"External/provider implementation remains authoritative; VibeFlow owns binding, grants, policy, normalized state and evidence for AgentContextSnapshotRef.",BRIDGE,BRIDGE,Agent/provider capability,VERIFY PER DEPENDENCY,P1,Immutable recovery evidence + rollback/forward/revision consistency tests,Portability may be limited; VibeFlow stores refs/metadata.
